test_batch,output,configuration,features,learned_kernel
314,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","2.55**2 * RBF(length_scale=[0.826, 4.81, 7.65, 3.43, 20, 3.97, 20]) + WhiteKernel(noise_level=0.000483)"
332,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.26**2 * RBF(length_scale=[0.894, 1.06, 20, 20, 20, 3.7]) + WhiteKernel(noise_level=0.000137)"
332,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.57**2 * RBF(length_scale=[0.458, 2.32, 8.33, 20, 20, 6.41]) + WhiteKernel(noise_level=2.01e-06)"
332,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.24**2 * RBF(length_scale=[0.892, 1.06, 20, 20, 20, 3.72, 20]) + WhiteKernel(noise_level=0.000137)"
332,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.43**2 * RBF(length_scale=[0.455, 2.19, 8.25, 20, 20, 6.01, 20]) + WhiteKernel(noise_level=1.2e-06)"
401,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.31**2 * RBF(length_scale=[0.891, 1.53, 18.2, 3.12, 20, 3.69]) + WhiteKernel(noise_level=7.5e-05)"
401,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.81**2 * RBF(length_scale=[0.768, 2.68, 7.38, 4.57, 20, 3.75]) + WhiteKernel(noise_level=0.000368)"
401,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.26**2 * RBF(length_scale=[0.896, 1.5, 16.8, 2.98, 20, 3.56, 20]) + WhiteKernel(noise_level=7.56e-05)"
401,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.6**2 * RBF(length_scale=[0.764, 2.53, 6.61, 3.87, 20, 3.49, 20]) + WhiteKernel(noise_level=0.000369)"
424,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.11**2 * RBF(length_scale=[0.796, 1.07, 20, 2, 20, 2.67]) + WhiteKernel(noise_level=0.000168)"
424,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.6**2 * RBF(length_scale=[0.723, 2.3, 5.67, 2.58, 7.71, 3.71]) + WhiteKernel(noise_level=0.000478)"
424,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.1**2 * RBF(length_scale=[0.796, 1.06, 20, 1.96, 20, 2.62, 20]) + WhiteKernel(noise_level=0.000168)"
424,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.59**2 * RBF(length_scale=[0.72, 2.28, 5.18, 2.71, 9.86, 3.68, 20]) + WhiteKernel(noise_level=0.000477)"
496,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.32**2 * RBF(length_scale=[1.1, 1.56, 20, 2.58, 15.5, 3.23]) + WhiteKernel(noise_level=6.8e-05)"
496,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.83**2 * RBF(length_scale=[1.3, 2.59, 6.54, 2.91, 8.02, 3.33]) + WhiteKernel(noise_level=0.00102)"
496,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.28**2 * RBF(length_scale=[1.09, 1.52, 20, 2.65, 17.6, 3.05, 20]) + WhiteKernel(noise_level=6.76e-05)"
496,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.55**2 * RBF(length_scale=[0.787, 2.39, 5.28, 4.67, 18.6, 2.51, 20]) + WhiteKernel(noise_level=0.000176)"
569,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.81**2 * RBF(length_scale=[1.16, 2.11, 20, 20, 20, 5.58]) + WhiteKernel(noise_level=5.77e-05)"
569,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.09**2 * RBF(length_scale=[0.805, 3.75, 20, 8.92, 20, 6.97]) + WhiteKernel(noise_level=0.000173)"
569,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.7**2 * RBF(length_scale=[1.15, 2.02, 20, 20, 20, 5.22, 20]) + WhiteKernel(noise_level=5.82e-05)"
569,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.87**2 * RBF(length_scale=[0.815, 3.69, 19.3, 5.52, 20, 6.37, 20]) + WhiteKernel(noise_level=0.000179)"
