batch_id,settling_time,n_samples,input_distance,state_distance
515,23.0,4,0.07499999999999996,21.781021612275197
516,553.0,57,0.08835298523536145,67.0725593856111
517,957.0,97,0.33919942511743745,200.9844287071198
518,483.0,50,0.5639204287840617,128.70479915622573
519,560.0,57,0.22852789764052875,70.9649895400534
520,503.0,52,0.5639204287840617,133.2015027447189
521,877.0,89,0.7470107094279171,153.7514480247191
522,1040.0,105,0.7184010022264724,49.208336881358086
523,1016.0,103,0.7614172640543423,42.969915867750615
524,11.0,3,0.07499999999999996,21.382563218758296
525,461.0,48,0.05482928049865328,20.967482706306146
526,37.0,5,0.14999999999999997,43.414624967164066
527,1079.0,109,1.0965856099730655,41.74885088670263
528,1079.0,109,0.88,237.68708226913756
529,1121.0,114,1.094420508762514,349.97443853640635
530,696.0,71,0.7668767828015136,63.6058035332863
531,871.0,89,0.28250000000000003,235.19057646489478
532,592.0,61,0.27441984257702645,124.00697511805096
533,1039.0,105,0.766359086851588,175.2538458322614
534,911.0,93,0.4059017738320442,7.439925046520341
535,900.0,91,0.7321244771212065,236.98124701687254
536,600.0,61,0.3834383914007568,134.1677907379767
537,461.0,48,0.19171919570037838,65.7015272451185
538,461.0,48,0.08499999999999992,9.653472451120699
539,681.0,70,0.12572290960680158,44.43216646297828
540,1064.0,108,0.7209759011229155,238.32634305679372
541,426.0,44,0.19171919570037851,15.134845938529978
542,1079.0,109,0.8926925562588723,189.92708856692684
543,1103.0,112,0.923052002868744,250.6219758672821
544,1079.0,109,0.9297311439335569,372.0009771279585
545,738.0,75,0.17670597047072292,52.68207130687772
546,29.0,4,0.15000000000000002,41.67308056567742
547,457.0,47,0.11939953936259559,35.315020249225306
548,681.0,70,0.12572290960680158,27.74040539830017
549,1074.0,109,0.7394634879424405,201.00061933345518
550,540.0,55,0.1552417469626002,59.07033045115856
551,756.0,77,0.22261233119483742,8.449580599251323
552,819.0,83,0.7163972361755733,184.39588028626912
553,1039.0,105,0.8770547303332901,359.2757696866142
554,1028.0,104,0.8154140052758476,273.37848310911045
555,1067.0,108,0.8831902399823042,313.97017915668266
556,1050.0,106,0.8040561236630189,285.3718106999764
557,579.0,59,0.23879907872519104,51.963592983446006
558,960.0,97,0.7953340493151291,255.1958848875668
559,652.0,67,0.3300094695611021,257.5084329333189
560,542.0,56,0.27441984257702645,12.171820680865773
561,677.0,69,0.2136000936329383,187.64559355476234
562,734.0,75,0.25000000000000006,127.65380299075386
563,474.0,49,0.11939953936259552,56.13295803479476
564,572.0,59,0.2038535013189619,105.7641622001965
565,903.0,92,0.6020797289396148,271.71116868027144
566,955.0,97,0.6955258801798824,403.1294663206583
567,578.0,59,0.10965856099730656,58.79026864406381
568,666.0,68,0.20348525745124635,198.9160991576186
569,1028.0,104,0.6892432444355187,115.70850103295717
570,1082.0,110,0.7394634879424405,132.48776190006467
571,534.0,55,0.19171919570037832,32.816234027219615
572,818.0,83,0.8057449968817678,523.160279548986
573,636.0,65,0.19209372712298545,163.83725524723036
574,659.0,67,0.7225346012475803,86.78755167702106
575,1003.0,102,0.40175396699970495,295.4896960639519
576,769.0,78,0.21931712199461306,8.161761819127742
577,898.0,91,0.7394634879424407,439.8526009607833
578,719.0,73,0.20000000000000004,174.75936250847528
579,702.0,72,0.25000000000000006,217.59942360322634
580,981.0,100,0.8820749684692339,487.30463123268424
581,775.0,79,0.16448784149595985,51.647036094428664
582,775.0,79,0.2034852574512464,33.08991996707414
583,435.0,45,0.15524174696260026,40.800099885373214
584,933.0,95,0.25144581921360315,74.32729058529648
585,989.0,100,0.565,26.207586266634213
586,681.0,70,0.32310988842807026,56.15767578816984
587,1074.0,109,0.7289075730159483,119.3453909301848
588,1039.0,105,0.7663590868515882,109.78406965631378
589,1090.0,110,0.7440136087465067,130.59221210706545
590,764.0,78,0.2464878293141469,168.06377271848476
591,869.0,88,0.7470107094279171,83.7487236202992
592,861.0,88,0.19559204994068652,48.7967266984445
593,922.0,94,0.85,192.047847715421
594,738.0,75,0.2464878293141469,26.354444563788736
595,445.0,46,0.2285278976405288,58.25034620578487
596,817.0,83,0.19559204994068652,39.9673796611644
597,843.0,86,0.6411123146532127,254.12493259252756
