test_batch,output,observed_anchor_count,learned_kernel
165,T,12,"1.94**2 * RBF(length_scale=[0.8, 20, 3.65, 2.21, 20, 4.71]) + WhiteKernel(noise_level=0.000419)"
174,Cb,3,"1.03**2 * RBF(length_scale=[0.813, 1.14, 20, 2.01, 20, 2.71]) + WhiteKernel(noise_level=8.65e-05)"
174,T,3,"1.1**2 * RBF(length_scale=[0.433, 20, 16.8, 1.11, 6.56, 4.97]) + WhiteKernel(noise_level=2.53e-06)"
174,Cb,4,"1.04**2 * RBF(length_scale=[0.814, 1.18, 20, 2.1, 20, 2.67]) + WhiteKernel(noise_level=8.73e-05)"
174,T,4,"1.1**2 * RBF(length_scale=[0.434, 20, 17, 1.1, 6.33, 5.12]) + WhiteKernel(noise_level=2.1e-06)"
174,Cb,5,"1.06**2 * RBF(length_scale=[0.818, 1.18, 20, 2.01, 20, 2.86]) + WhiteKernel(noise_level=8.98e-05)"
174,T,5,"1.05**2 * RBF(length_scale=[0.437, 20, 15.8, 1.01, 4.78, 5.33]) + WhiteKernel(noise_level=2.58e-06)"
174,Cb,6,"1.06**2 * RBF(length_scale=[0.823, 1.17, 20, 1.96, 20, 2.91]) + WhiteKernel(noise_level=8.83e-05)"
174,T,6,"1.06**2 * RBF(length_scale=[0.441, 20, 15.6, 0.993, 4.64, 5.46]) + WhiteKernel(noise_level=1.96e-06)"
174,Cb,7,"1.07**2 * RBF(length_scale=[0.825, 1.22, 20, 2.02, 20, 2.97]) + WhiteKernel(noise_level=8.9e-05)"
174,T,7,"1.05**2 * RBF(length_scale=[0.443, 20, 15.6, 0.941, 4.03, 5.72]) + WhiteKernel(noise_level=3.09e-06)"
174,Cb,8,"1.09**2 * RBF(length_scale=[0.83, 1.23, 20, 2.08, 20, 3.06]) + WhiteKernel(noise_level=8.86e-05)"
174,T,8,"1.04**2 * RBF(length_scale=[0.446, 20, 16.2, 0.876, 3.97, 5.93]) + WhiteKernel(noise_level=1.16e-06)"
174,Cb,9,"1.1**2 * RBF(length_scale=[0.833, 1.24, 20, 2.14, 20, 3.15]) + WhiteKernel(noise_level=8.72e-05)"
174,T,9,"1.04**2 * RBF(length_scale=[0.449, 20, 17.5, 0.847, 3.77, 6.2]) + WhiteKernel(noise_level=1.69e-06)"
174,Cb,10,"1.11**2 * RBF(length_scale=[0.835, 1.25, 20, 2.21, 20, 3.24]) + WhiteKernel(noise_level=8.57e-05)"
174,T,10,"1.05**2 * RBF(length_scale=[0.449, 20, 17, 0.853, 3.83, 6.23]) + WhiteKernel(noise_level=1.36e-06)"
174,Cb,11,"1.11**2 * RBF(length_scale=[0.837, 1.22, 20, 2.27, 20, 3.31]) + WhiteKernel(noise_level=8.51e-05)"
174,T,11,"1.04**2 * RBF(length_scale=[0.451, 20, 18.7, 0.797, 3.81, 6.56]) + WhiteKernel(noise_level=4.2e-06)"
174,Cb,12,"1.12**2 * RBF(length_scale=[0.834, 1.23, 20, 2.29, 20, 3.35]) + WhiteKernel(noise_level=8.33e-05)"
174,T,12,"1.04**2 * RBF(length_scale=[0.448, 20, 19, 0.787, 3.82, 6.68]) + WhiteKernel(noise_level=2.73e-06)"
204,Cb,3,"0.964**2 * RBF(length_scale=[0.882, 0.947, 20, 20, 16, 1.93]) + WhiteKernel(noise_level=4.43e-05)"
204,T,3,"1.72**2 * RBF(length_scale=[0.721, 5.35, 20, 2.98, 2.86, 4.57]) + WhiteKernel(noise_level=0.00021)"
204,Cb,4,"0.939**2 * RBF(length_scale=[0.883, 0.919, 20, 20, 14.6, 1.86]) + WhiteKernel(noise_level=4.47e-05)"
204,T,4,"1.78**2 * RBF(length_scale=[0.74, 4.96, 20, 3.06, 2.97, 4.86]) + WhiteKernel(noise_level=0.000214)"
204,Cb,5,"1.13**2 * RBF(length_scale=[0.856, 1.06, 20, 20, 20, 2.33]) + WhiteKernel(noise_level=5.44e-05)"
204,T,5,"1.34**2 * RBF(length_scale=[0.696, 2.59, 5.9, 3.01, 2.34, 3.41]) + WhiteKernel(noise_level=0.000215)"
204,Cb,6,"1.11**2 * RBF(length_scale=[0.897, 1.02, 20, 20, 20, 2.27]) + WhiteKernel(noise_level=7.59e-05)"
204,T,6,"1.37**2 * RBF(length_scale=[0.709, 2.81, 6.33, 3.23, 2.8, 3.89]) + WhiteKernel(noise_level=0.000282)"
204,Cb,7,"1.18**2 * RBF(length_scale=[0.881, 1.09, 20, 20, 20, 2.53]) + WhiteKernel(noise_level=6.94e-05)"
204,T,7,"1.34**2 * RBF(length_scale=[0.713, 2.78, 6.28, 3.24, 2.84, 3.94]) + WhiteKernel(noise_level=0.000264)"
204,Cb,8,"1.2**2 * RBF(length_scale=[0.879, 1.1, 20, 20, 20, 2.61]) + WhiteKernel(noise_level=6.59e-05)"
204,T,8,"1.32**2 * RBF(length_scale=[0.715, 2.87, 7.04, 3.01, 2.71, 3.92]) + WhiteKernel(noise_level=0.000254)"
204,Cb,9,"1.42**2 * RBF(length_scale=[0.896, 1.15, 20, 20, 20, 2.71]) + WhiteKernel(noise_level=9.01e-05)"
204,T,9,"1.36**2 * RBF(length_scale=[0.728, 3.05, 8.61, 2.74, 2.64, 3.9]) + WhiteKernel(noise_level=0.00026)"
204,Cb,10,"1.34**2 * RBF(length_scale=[0.877, 1.16, 20, 20, 20, 2.75]) + WhiteKernel(noise_level=0.000101)"
204,T,10,"1.23**2 * RBF(length_scale=[0.708, 2.54, 6.09, 2.9, 2.42, 3.64]) + WhiteKernel(noise_level=0.000319)"
204,Cb,11,"1.27**2 * RBF(length_scale=[0.854, 1.14, 20, 20, 20, 2.64]) + WhiteKernel(noise_level=9.89e-05)"
204,T,11,"1.23**2 * RBF(length_scale=[0.707, 2.52, 6.06, 2.9, 2.45, 3.68]) + WhiteKernel(noise_level=0.000319)"
204,Cb,12,"1.29**2 * RBF(length_scale=[0.853, 1.16, 20, 20, 20, 2.85]) + WhiteKernel(noise_level=0.000112)"
204,T,12,"1.21**2 * RBF(length_scale=[0.693, 2.6, 6.71, 2.7, 2.32, 3.67]) + WhiteKernel(noise_level=0.000332)"
207,Cb,3,"1.04**2 * RBF(length_scale=[0.838, 20, 16.1, 1.37, 20, 2.04]) + WhiteKernel(noise_level=9.06e-05)"
207,T,3,"1.78**2 * RBF(length_scale=[0.741, 5.86, 20, 1.86, 3.77, 4.23]) + WhiteKernel(noise_level=0.00041)"
207,Cb,4,"1.04**2 * RBF(length_scale=[0.841, 20, 15.9, 1.35, 20, 2.04]) + WhiteKernel(noise_level=8.96e-05)"
207,T,4,"1.79**2 * RBF(length_scale=[0.745, 5.86, 20, 1.88, 3.85, 4.32]) + WhiteKernel(noise_level=0.000398)"
207,Cb,5,"1.04**2 * RBF(length_scale=[0.846, 20, 14.8, 1.29, 20, 2.06]) + WhiteKernel(noise_level=9.19e-05)"
207,T,5,"1.87**2 * RBF(length_scale=[0.736, 5.83, 20, 2.14, 3.57, 4.74]) + WhiteKernel(noise_level=0.000448)"
207,Cb,6,"1.04**2 * RBF(length_scale=[0.851, 20, 13.5, 1.23, 20, 2.08]) + WhiteKernel(noise_level=8.95e-05)"
207,T,6,"1.78**2 * RBF(length_scale=[0.738, 5.86, 20, 2.17, 3.63, 4.78]) + WhiteKernel(noise_level=0.000463)"
207,Cb,7,"1.05**2 * RBF(length_scale=[0.859, 20, 12.7, 1.2, 20, 2.1]) + WhiteKernel(noise_level=8.75e-05)"
207,T,7,"1.74**2 * RBF(length_scale=[0.745, 5.87, 20, 2.15, 3.75, 4.83]) + WhiteKernel(noise_level=0.000429)"
207,Cb,8,"1.07**2 * RBF(length_scale=[0.867, 20, 11.7, 1.17, 20, 2.12]) + WhiteKernel(noise_level=8.76e-05)"
207,T,8,"1.8**2 * RBF(length_scale=[0.751, 6.02, 20, 2.22, 4.11, 5.28]) + WhiteKernel(noise_level=0.000428)"
207,Cb,9,"1.08**2 * RBF(length_scale=[0.873, 20, 11, 1.16, 17.8, 2.13]) + WhiteKernel(noise_level=8.59e-05)"
207,T,9,"1.76**2 * RBF(length_scale=[0.751, 6.03, 20, 2.23, 4.11, 5.33]) + WhiteKernel(noise_level=0.000387)"
207,Cb,10,"1.08**2 * RBF(length_scale=[0.875, 20, 11.1, 1.15, 13.5, 2.13]) + WhiteKernel(noise_level=8.42e-05)"
207,T,10,"1.7**2 * RBF(length_scale=[0.75, 6.03, 20, 2.22, 4.15, 5.32]) + WhiteKernel(noise_level=0.00036)"
207,Cb,11,"1.09**2 * RBF(length_scale=[0.877, 20, 10.7, 1.14, 12.8, 2.16]) + WhiteKernel(noise_level=8.28e-05)"
207,T,11,"1.72**2 * RBF(length_scale=[0.757, 6.06, 20, 2.23, 4.34, 5.49]) + WhiteKernel(noise_level=0.000352)"
207,Cb,12,"1.1**2 * RBF(length_scale=[0.874, 20, 10.6, 1.13, 12.3, 2.19]) + WhiteKernel(noise_level=8.11e-05)"
207,T,12,"1.71**2 * RBF(length_scale=[0.752, 6.08, 20, 2.25, 4.43, 5.56]) + WhiteKernel(noise_level=0.00033)"
229,Cb,3,"1.08**2 * RBF(length_scale=[0.78, 1.17, 20, 1.1, 20, 2.95]) + WhiteKernel(noise_level=0.000226)"
229,T,3,"1.32**2 * RBF(length_scale=[0.723, 1.99, 6.39, 2.73, 20, 2.35]) + WhiteKernel(noise_level=0.000474)"
229,Cb,4,"1.08**2 * RBF(length_scale=[0.782, 1.21, 20, 1.1, 20, 2.96]) + WhiteKernel(noise_level=0.000223)"
229,T,4,"1.33**2 * RBF(length_scale=[0.725, 2.01, 6.34, 2.73, 20, 2.4]) + WhiteKernel(noise_level=0.000471)"
229,Cb,5,"1.07**2 * RBF(length_scale=[0.784, 1.21, 20, 1.1, 20, 2.94]) + WhiteKernel(noise_level=0.000222)"
229,T,5,"1.33**2 * RBF(length_scale=[0.728, 2.03, 6.29, 2.7, 20, 2.46]) + WhiteKernel(noise_level=0.000468)"
229,Cb,6,"1.07**2 * RBF(length_scale=[0.787, 1.21, 20, 1.1, 20, 2.93]) + WhiteKernel(noise_level=0.00022)"
229,T,6,"1.34**2 * RBF(length_scale=[0.732, 2.04, 6.32, 2.73, 20, 2.5]) + WhiteKernel(noise_level=0.000467)"
229,Cb,7,"1.07**2 * RBF(length_scale=[0.79, 1.24, 20, 1.09, 20, 2.92]) + WhiteKernel(noise_level=0.00022)"
229,T,7,"1.35**2 * RBF(length_scale=[0.736, 2.05, 6.35, 2.74, 20, 2.55]) + WhiteKernel(noise_level=0.000465)"
229,Cb,8,"1.09**2 * RBF(length_scale=[0.796, 1.25, 20, 1.11, 20, 2.94]) + WhiteKernel(noise_level=0.000226)"
229,T,8,"1.37**2 * RBF(length_scale=[0.74, 2.06, 6.49, 2.7, 20, 2.58]) + WhiteKernel(noise_level=0.000466)"
229,Cb,9,"1.1**2 * RBF(length_scale=[0.8, 1.28, 20, 1.1, 20, 2.93]) + WhiteKernel(noise_level=0.000224)"
229,T,9,"1.37**2 * RBF(length_scale=[0.743, 2.07, 6.55, 2.74, 20, 2.58]) + WhiteKernel(noise_level=0.000465)"
229,Cb,10,"1.1**2 * RBF(length_scale=[0.802, 1.3, 20, 1.09, 20, 2.93]) + WhiteKernel(noise_level=0.000221)"
229,T,10,"1.39**2 * RBF(length_scale=[0.745, 2.1, 6.56, 2.76, 20, 2.64]) + WhiteKernel(noise_level=0.000464)"
229,Cb,11,"1.1**2 * RBF(length_scale=[0.804, 1.34, 20, 1.06, 20, 2.92]) + WhiteKernel(noise_level=0.000218)"
229,T,11,"1.39**2 * RBF(length_scale=[0.745, 2.1, 6.55, 2.77, 20, 2.67]) + WhiteKernel(noise_level=0.000464)"
229,Cb,12,"1.1**2 * RBF(length_scale=[0.802, 1.29, 20, 1.1, 20, 2.92]) + WhiteKernel(noise_level=0.000212)"
229,T,12,"1.4**2 * RBF(length_scale=[0.744, 2.1, 6.64, 2.75, 20, 2.71]) + WhiteKernel(noise_level=0.000465)"
