test_batch,output,configuration,features,learned_kernel
165,T,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,T_0","1.28**2 * RBF(length_scale=[0.811, 1.26, 20, 4.33, 0.682]) + WhiteKernel(noise_level=0.000352)"
165,Cb,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,Cb_0","1.36**2 * RBF(length_scale=[0.933, 1.08, 20, 1.65, 3.61]) + WhiteKernel(noise_level=0.000134)"
165,T,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,T_0","2.23**2 * RBF(length_scale=[0.867, 20, 3.89, 2.29, 5.54]) + WhiteKernel(noise_level=0.0003)"
165,Cb,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.63**2 * RBF(length_scale=[1, 1.09, 3.39, 1.25, 20]) + WhiteKernel(noise_level=0.000141)"
165,T,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","2.3**2 * RBF(length_scale=[0.92, 8.22, 3.83, 1.66, 9.04]) + WhiteKernel(noise_level=0.000323)"
174,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[0.83, 1.23, 20, 2.08, 20, 3.06]) + WhiteKernel(noise_level=8.86e-05)"
174,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.04**2 * RBF(length_scale=[0.446, 20, 16.2, 0.876, 3.97, 5.93]) + WhiteKernel(noise_level=1.16e-06)"
174,Cb,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.08**2 * RBF(length_scale=[2.4, 20, 3.93, 20, 1.41]) + WhiteKernel(noise_level=0.01)"
174,T,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","0.979**2 * RBF(length_scale=[1.53, 20, 1.34, 6.94, 10.7]) + WhiteKernel(noise_level=0.01)"
174,Cb,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.13**2 * RBF(length_scale=[0.828, 4.95, 1.05, 20, 2.7]) + WhiteKernel(noise_level=8.64e-05)"
174,T,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.14**2 * RBF(length_scale=[0.449, 13.6, 0.951, 4.03, 7.16]) + WhiteKernel(noise_level=1.66e-06)"
174,Cb,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,Cb_0","1.11**2 * RBF(length_scale=[0.831, 1.24, 2.13, 20, 3.14]) + WhiteKernel(noise_level=8.86e-05)"
174,T,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,T_0","1.02**2 * RBF(length_scale=[0.446, 20, 0.836, 3.33, 5.99]) + WhiteKernel(noise_level=1.18e-06)"
174,Cb,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,Cb_0","0.91**2 * RBF(length_scale=[0.824, 1.08, 20, 20, 0.993]) + WhiteKernel(noise_level=8.67e-05)"
174,T,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,T_0","1**2 * RBF(length_scale=[0.663, 0.881, 20, 0.662, 20]) + WhiteKernel(noise_level=0.000704)"
174,Cb,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,Cb_0","1.1**2 * RBF(length_scale=[0.831, 1.24, 20, 2.08, 3.1]) + WhiteKernel(noise_level=8.81e-05)"
174,T,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,T_0","1.01**2 * RBF(length_scale=[0.446, 9.65, 20, 0.694, 4.11]) + WhiteKernel(noise_level=6.31e-07)"
174,Cb,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","0.986**2 * RBF(length_scale=[0.855, 0.836, 20, 0.644, 20]) + WhiteKernel(noise_level=8.46e-05)"
174,T,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.15**2 * RBF(length_scale=[0.448, 2, 5.7, 1.18, 4.1]) + WhiteKernel(noise_level=1e-08)"
204,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.2**2 * RBF(length_scale=[0.879, 1.1, 20, 20, 20, 2.61]) + WhiteKernel(noise_level=6.59e-05)"
