test_batch,output,strategy,learned_kernel
569,Cb,same_delta_frac_A,"1.36**2 * RBF(length_scale=[0.398, 6.2, 20, 12, 20, 7.56]) + WhiteKernel(noise_level=3.53e-08)"
569,T,same_delta_frac_A,"2.66**2 * RBF(length_scale=[0.354, 8.98, 19.6, 14.8, 20, 15.1]) + WhiteKernel(noise_level=9.46e-07)"
569,Cb,same_delta_Tc,"1.17**2 * RBF(length_scale=[0.392, 4.97, 20, 10.8, 20, 7.04]) + WhiteKernel(noise_level=3.08e-08)"
569,T,same_delta_Tc,"1.82**2 * RBF(length_scale=[0.345, 5.94, 17.8, 11.8, 20, 11.4]) + WhiteKernel(noise_level=5.1e-07)"
569,Cb,same_both,"1.17**2 * RBF(length_scale=[0.392, 4.97, 20, 10.8, 20, 7.04]) + WhiteKernel(noise_level=3.08e-08)"
569,T,same_both,"1.82**2 * RBF(length_scale=[0.345, 5.94, 17.8, 11.8, 20, 11.4]) + WhiteKernel(noise_level=5.1e-07)"
653,Cb,unrestricted,"1.96**2 * RBF(length_scale=[1.1, 5.27, 20, 10.4, 20, 9.93]) + WhiteKernel(noise_level=1.36e-05)"
653,T,unrestricted,"4.32**2 * RBF(length_scale=[0.79, 6.1, 20, 7.82, 20, 20]) + WhiteKernel(noise_level=0.000125)"
653,Cb,same_delta_frac_A,"1.01**2 * RBF(length_scale=[0.601, 2.9, 20, 5.13, 20, 7.18]) + WhiteKernel(noise_level=1e-08)"
653,T,same_delta_frac_A,"3.78**2 * RBF(length_scale=[0.535, 4.45, 17.8, 11.1, 20, 20]) + WhiteKernel(noise_level=7e-08)"
653,Cb,same_delta_Tc,"1.89**2 * RBF(length_scale=[1.05, 4.87, 20, 4.34, 20, 11.5]) + WhiteKernel(noise_level=1.06e-05)"
653,T,same_delta_Tc,"3.93**2 * RBF(length_scale=[0.758, 5.25, 17.7, 6.1, 20, 20]) + WhiteKernel(noise_level=0.000133)"
653,Cb,same_both,"1.6**2 * RBF(length_scale=[0.585, 2.53, 20, 5.31, 20, 10.6]) + WhiteKernel(noise_level=4.74e-07)"
653,T,same_both,"3.05**2 * RBF(length_scale=[0.463, 3.45, 11, 5.59, 20, 20]) + WhiteKernel(noise_level=3.6e-08)"
788,Cb,unrestricted,"1.1**2 * RBF(length_scale=[0.443, 3.96, 20, 9.53, 20, 5.47]) + WhiteKernel(noise_level=1.42e-07)"
788,T,unrestricted,"1.46**2 * RBF(length_scale=[0.398, 4.02, 18, 9.2, 20, 11.4]) + WhiteKernel(noise_level=9.28e-07)"
788,Cb,same_delta_frac_A,"1.1**2 * RBF(length_scale=[0.443, 3.96, 20, 9.53, 20, 5.47]) + WhiteKernel(noise_level=1.42e-07)"
788,T,same_delta_frac_A,"1.46**2 * RBF(length_scale=[0.398, 4.02, 18, 9.2, 20, 11.4]) + WhiteKernel(noise_level=9.28e-07)"
788,Cb,same_delta_Tc,"1.1**2 * RBF(length_scale=[0.443, 3.96, 20, 9.53, 20, 5.47]) + WhiteKernel(noise_level=1.42e-07)"
788,T,same_delta_Tc,"1.46**2 * RBF(length_scale=[0.398, 4.02, 18, 9.2, 20, 11.4]) + WhiteKernel(noise_level=9.28e-07)"
788,Cb,same_both,"1.1**2 * RBF(length_scale=[0.443, 3.96, 20, 9.53, 20, 5.47]) + WhiteKernel(noise_level=1.42e-07)"
788,T,same_both,"1.46**2 * RBF(length_scale=[0.398, 4.02, 18, 9.2, 20, 11.4]) + WhiteKernel(noise_level=9.28e-07)"
803,Cb,unrestricted,"1.64**2 * RBF(length_scale=[0.593, 2.5, 20, 4.44, 20, 14.6]) + WhiteKernel(noise_level=1.12e-05)"
803,T,unrestricted,"1.99**2 * RBF(length_scale=[0.489, 3.03, 20, 7.33, 20, 16]) + WhiteKernel(noise_level=6.16e-06)"
803,Cb,same_delta_frac_A,"1.35**2 * RBF(length_scale=[0.517, 2.28, 20, 5.61, 20, 12.8]) + WhiteKernel(noise_level=8.08e-07)"
803,T,same_delta_frac_A,"1.66**2 * RBF(length_scale=[0.434, 2.56, 20, 5.58, 20, 13.5]) + WhiteKernel(noise_level=2.97e-07)"
803,Cb,same_delta_Tc,"1.64**2 * RBF(length_scale=[0.593, 2.5, 20, 4.44, 20, 14.6]) + WhiteKernel(noise_level=1.12e-05)"
803,T,same_delta_Tc,"1.99**2 * RBF(length_scale=[0.489, 3.03, 20, 7.33, 20, 16]) + WhiteKernel(noise_level=6.16e-06)"
803,Cb,same_both,"1.35**2 * RBF(length_scale=[0.517, 2.28, 20, 5.61, 20, 12.8]) + WhiteKernel(noise_level=8.08e-07)"
803,T,same_both,"1.66**2 * RBF(length_scale=[0.434, 2.56, 20, 5.58, 20, 13.5]) + WhiteKernel(noise_level=2.97e-07)"
815,Cb,unrestricted,"1.16**2 * RBF(length_scale=[0.401, 5.9, 20, 10.2, 20, 6.33]) + WhiteKernel(noise_level=3.52e-08)"
815,T,unrestricted,"2.03**2 * RBF(length_scale=[0.32, 6.71, 20, 10.3, 20, 14.5]) + WhiteKernel(noise_level=1.32e-07)"
815,Cb,same_delta_frac_A,"1.16**2 * RBF(length_scale=[0.401, 5.9, 20, 10.2, 20, 6.33]) + WhiteKernel(noise_level=3.52e-08)"
815,T,same_delta_frac_A,"2.03**2 * RBF(length_scale=[0.32, 6.71, 20, 10.3, 20, 14.5]) + WhiteKernel(noise_level=1.32e-07)"
815,Cb,same_delta_Tc,"1.28**2 * RBF(length_scale=[0.421, 6.23, 20, 11.3, 20, 7.6]) + WhiteKernel(noise_level=4.61e-08)"
815,T,same_delta_Tc,"1.84**2 * RBF(length_scale=[0.34, 6.77, 17.9, 10.6, 20, 12.7]) + WhiteKernel(noise_level=8.38e-08)"
815,Cb,same_both,"1.28**2 * RBF(length_scale=[0.421, 6.23, 20, 11.3, 20, 7.6]) + WhiteKernel(noise_level=4.61e-08)"
815,T,same_both,"1.84**2 * RBF(length_scale=[0.34, 6.77, 17.9, 10.6, 20, 12.7]) + WhiteKernel(noise_level=8.38e-08)"
830,Cb,unrestricted,"1.13**2 * RBF(length_scale=[0.417, 4.59, 20, 11.8, 20, 6.43]) + WhiteKernel(noise_level=1.08e-07)"
830,T,unrestricted,"1.47**2 * RBF(length_scale=[0.357, 5.17, 18.1, 10.3, 20, 16.4]) + WhiteKernel(noise_level=4.46e-07)"
830,Cb,same_delta_frac_A,"1.13**2 * RBF(length_scale=[0.417, 4.59, 20, 11.8, 20, 6.43]) + WhiteKernel(noise_level=1.08e-07)"
830,T,same_delta_frac_A,"1.47**2 * RBF(length_scale=[0.357, 5.17, 18.1, 10.3, 20, 16.4]) + WhiteKernel(noise_level=4.46e-07)"
830,Cb,same_delta_Tc,"1.13**2 * RBF(length_scale=[0.417, 4.59, 20, 11.8, 20, 6.43]) + WhiteKernel(noise_level=1.08e-07)"
830,T,same_delta_Tc,"1.47**2 * RBF(length_scale=[0.357, 5.17, 18.1, 10.3, 20, 16.4]) + WhiteKernel(noise_level=4.46e-07)"
830,Cb,same_both,"1.13**2 * RBF(length_scale=[0.417, 4.59, 20, 11.8, 20, 6.43]) + WhiteKernel(noise_level=1.08e-07)"
