test_batch,output,time_representation,features,learned_kernel
257,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.73**2 * RBF(length_scale=[0.2, 2.25, 9.94, 20, 20, 3.06]) + WhiteKernel(noise_level=0.000114)"
314,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.84**2 * RBF(length_scale=[0.919, 2.42, 20, 2.04, 20, 4.85]) + WhiteKernel(noise_level=0.000141)"
314,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.85**2 * RBF(length_scale=[0.831, 4.9, 8.71, 3.78, 20, 4.49]) + WhiteKernel(noise_level=0.000483)"
314,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","4.65**2 * RBF(length_scale=[0.659, 4.12, 20, 1.89, 20, 12.6]) + WhiteKernel(noise_level=3.81e-05)"
314,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","3.85**2 * RBF(length_scale=[0.217, 5.84, 7.67, 3.82, 20, 4.88]) + WhiteKernel(noise_level=0.00018)"
332,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.26**2 * RBF(length_scale=[0.894, 1.06, 20, 20, 20, 3.7]) + WhiteKernel(noise_level=0.000137)"
332,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.57**2 * RBF(length_scale=[0.458, 2.32, 8.33, 20, 20, 6.41]) + WhiteKernel(noise_level=2.01e-06)"
332,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","4.25**2 * RBF(length_scale=[0.817, 2.43, 20, 2.28, 20, 8.15]) + WhiteKernel(noise_level=8.76e-05)"
332,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.39**2 * RBF(length_scale=[0.2, 2.21, 6.61, 20, 20, 6.27]) + WhiteKernel(noise_level=0.000494)"
401,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.31**2 * RBF(length_scale=[0.891, 1.53, 18.2, 3.12, 20, 3.69]) + WhiteKernel(noise_level=7.5e-05)"
401,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.81**2 * RBF(length_scale=[0.768, 2.68, 7.38, 4.57, 20, 3.75]) + WhiteKernel(noise_level=0.000368)"
401,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","3.28**2 * RBF(length_scale=[0.745, 2.68, 20, 1.58, 20, 8.3]) + WhiteKernel(noise_level=2.14e-05)"
401,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.83**2 * RBF(length_scale=[0.244, 3.18, 8.72, 4.48, 20, 4.71]) + WhiteKernel(noise_level=0.00093)"
424,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.11**2 * RBF(length_scale=[0.796, 1.07, 20, 2, 20, 2.67]) + WhiteKernel(noise_level=0.000168)"
424,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.6**2 * RBF(length_scale=[0.723, 2.3, 5.67, 2.58, 7.71, 3.71]) + WhiteKernel(noise_level=0.000478)"
424,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","3.17**2 * RBF(length_scale=[0.638, 2.94, 20, 1.07, 20, 7.19]) + WhiteKernel(noise_level=1.99e-05)"
424,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.47**2 * RBF(length_scale=[0.2, 2.85, 9.28, 2.15, 5.94, 5.33]) + WhiteKernel(noise_level=0.000234)"
496,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.32**2 * RBF(length_scale=[1.1, 1.56, 20, 2.58, 15.5, 3.23]) + WhiteKernel(noise_level=6.8e-05)"
496,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.83**2 * RBF(length_scale=[1.3, 2.59, 6.54, 2.91, 8.02, 3.33]) + WhiteKernel(noise_level=0.00102)"
496,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","2.87**2 * RBF(length_scale=[0.678, 2.22, 20, 2.24, 20, 7.93]) + WhiteKernel(noise_level=2.31e-05)"
496,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.42**2 * RBF(length_scale=[0.238, 20, 20, 1.35, 4.25, 7.02]) + WhiteKernel(noise_level=8.4e-05)"
569,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.81**2 * RBF(length_scale=[1.16, 2.11, 20, 20, 20, 5.58]) + WhiteKernel(noise_level=5.77e-05)"
569,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.09**2 * RBF(length_scale=[0.805, 3.75, 20, 8.92, 20, 6.97]) + WhiteKernel(noise_level=0.000173)"
569,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","6.19**2 * RBF(length_scale=[1.05, 4.31, 20, 2.88, 20, 15.1]) + WhiteKernel(noise_level=1.78e-05)"
569,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","3.07**2 * RBF(length_scale=[0.253, 3.96, 20, 9.2, 20, 7.65]) + WhiteKernel(noise_level=2.04e-05)"
653,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.74**2 * RBF(length_scale=[1.13, 1.78, 20, 2.37, 20, 5.86]) + WhiteKernel(noise_level=5.68e-05)"
653,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.12**2 * RBF(length_scale=[0.917, 6.1, 18.7, 3.64, 11.9, 4.84]) + WhiteKernel(noise_level=0.0001)"
653,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","4**2 * RBF(length_scale=[0.83, 3.03, 20, 2.28, 20, 11.4]) + WhiteKernel(noise_level=7.32e-06)"
653,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.72**2 * RBF(length_scale=[0.297, 20, 20, 3.12, 7.16, 5.65]) + WhiteKernel(noise_level=1.11e-05)"
748,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.1**2 * RBF(length_scale=[0.838, 1.14, 20, 1.61, 20, 2.48]) + WhiteKernel(noise_level=0.000137)"
748,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.33**2 * RBF(length_scale=[0.75, 2.84, 5.13, 1.85, 7.16, 4.04]) + WhiteKernel(noise_level=0.000314)"
748,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","5.02**2 * RBF(length_scale=[0.676, 20, 20, 1.26, 12, 11.2]) + WhiteKernel(noise_level=2.09e-05)"
748,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.79**2 * RBF(length_scale=[0.2, 3.86, 3.69, 1.59, 20, 5.52]) + WhiteKernel(noise_level=8.77e-05)"
788,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.31**2 * RBF(length_scale=[0.906, 1.2, 20, 1.99, 20, 3.59]) + WhiteKernel(noise_level=7.83e-05)"
788,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.36**2 * RBF(length_scale=[0.74, 20, 20, 1.04, 5.04, 5.14]) + WhiteKernel(noise_level=0.000333)"
788,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","2.27**2 * RBF(length_scale=[0.491, 2.15, 20, 1.47, 20, 6.49]) + WhiteKernel(noise_level=6.11e-06)"
788,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.86**2 * RBF(length_scale=[0.2, 20, 20, 1.07, 4.14, 6.44]) + WhiteKernel(noise_level=0.000378)"
803,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.24**2 * RBF(length_scale=[1.25, 2.29, 20, 2.28, 20, 2.55]) + WhiteKernel(noise_level=3.25e-05)"
803,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.76**2 * RBF(length_scale=[0.793, 4.76, 8.32, 12.9, 20, 5.5]) + WhiteKernel(noise_level=0.000215)"
803,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","2.51**2 * RBF(length_scale=[0.709, 4.66, 20, 1.66, 6.13, 7.08]) + WhiteKernel(noise_level=8.14e-06)"
803,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","4.32**2 * RBF(length_scale=[0.284, 20, 20, 4.39, 3.23, 3.76]) + WhiteKernel(noise_level=4.25e-05)"
815,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.21**2 * RBF(length_scale=[0.856, 1.12, 19.7, 1.72, 20, 2.81]) + WhiteKernel(noise_level=0.000184)"
815,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.46**2 * RBF(length_scale=[0.72, 1.61, 6.03, 3.97, 20, 3.95]) + WhiteKernel(noise_level=0.000437)"
815,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","4.45**2 * RBF(length_scale=[0.609, 20, 20, 1.4, 20, 9.28]) + WhiteKernel(noise_level=2.33e-05)"
815,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","3**2 * RBF(length_scale=[0.2, 2.85, 9.46, 2.62, 20, 6.84]) + WhiteKernel(noise_level=0.00035)"
830,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.51**2 * RBF(length_scale=[0.842, 1.48, 20, 1.79, 20, 4.93]) + WhiteKernel(noise_level=0.000196)"
830,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.99**2 * RBF(length_scale=[0.768, 7.98, 11.6, 1.57, 20, 3.97]) + WhiteKernel(noise_level=0.000588)"
830,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","3.31**2 * RBF(length_scale=[0.583, 2.81, 20, 1.46, 20, 10.7]) + WhiteKernel(noise_level=2.15e-05)"
830,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","3.3**2 * RBF(length_scale=[0.2, 15.3, 14.9, 1.74, 20, 7.87]) + WhiteKernel(noise_level=0.000158)"
857,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.33**2 * RBF(length_scale=[0.839, 1.38, 20, 2.92, 20, 3.91]) + WhiteKernel(noise_level=0.000134)"
857,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.74**2 * RBF(length_scale=[0.749, 2.51, 5.92, 3.69, 20, 3.37]) + WhiteKernel(noise_level=0.000443)"
857,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","7.86**2 * RBF(length_scale=[1.13, 20, 20, 1.46, 20, 15.6]) + WhiteKernel(noise_level=0.000108)"
857,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.49**2 * RBF(length_scale=[0.2, 2.84, 6.26, 3.4, 20, 3.99]) + WhiteKernel(noise_level=0.000101)"
881,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.88**2 * RBF(length_scale=[0.813, 0.968, 20, 1.16, 17.4, 2.25]) + WhiteKernel(noise_level=0.000117)"
881,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.02**2 * RBF(length_scale=[0.666, 20, 3.45, 0.706, 2.67, 2.87]) + WhiteKernel(noise_level=0.000583)"
881,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","2.35**2 * RBF(length_scale=[0.608, 4.7, 20, 0.851, 17.4, 3.82]) + WhiteKernel(noise_level=1.28e-05)"
881,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.73**2 * RBF(length_scale=[0.2, 20, 4.13, 0.71, 8.1, 4.87]) + WhiteKernel(noise_level=0.00107)"
883,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.43**2 * RBF(length_scale=[0.839, 1.61, 20, 2.01, 20, 3.23]) + WhiteKernel(noise_level=0.000123)"
883,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.51**2 * RBF(length_scale=[0.688, 2.11, 3.29, 1.39, 7.53, 6.48]) + WhiteKernel(noise_level=0.00049)"
883,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","2.86**2 * RBF(length_scale=[0.608, 2.32, 20, 1.44, 20, 8.17]) + WhiteKernel(noise_level=1.67e-05)"
883,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.33**2 * RBF(length_scale=[0.2, 2.76, 3.39, 1.58, 20, 11.2]) + WhiteKernel(noise_level=0.00109)"
907,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.59**2 * RBF(length_scale=[0.989, 1.7, 20, 20, 20, 4.32]) + WhiteKernel(noise_level=0.00011)"
907,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.6**2 * RBF(length_scale=[0.886, 2.95, 7.85, 20, 20, 7.2]) + WhiteKernel(noise_level=0.000297)"
907,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","8.62**2 * RBF(length_scale=[1.05, 4.88, 20, 2.27, 20, 18]) + WhiteKernel(noise_level=1.34e-05)"
907,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.61**2 * RBF(length_scale=[0.204, 2.79, 6.46, 20, 20, 6.74]) + WhiteKernel(noise_level=0.000175)"
