test_batch,output,strategy,learned_kernel
232,T,disturbance_only,"1.97**2 * RBF(length_scale=[0.538, 2.7, 11.2, 9.92, 20, 10.3]) + WhiteKernel(noise_level=2.46e-08)"
234,Cb,full,"1.52**2 * RBF(length_scale=[0.52, 1.74, 20, 4.23, 20, 8.02]) + WhiteKernel(noise_level=1.42e-06)"
234,T,full,"1.95**2 * RBF(length_scale=[0.454, 2.11, 16.6, 4.91, 20, 11.6]) + WhiteKernel(noise_level=1.76e-06)"
234,Cb,without_delta_frac_A,"1.71**2 * RBF(length_scale=[0.505, 1.91, 20, 4.31, 20, 7.96]) + WhiteKernel(noise_level=3.87e-06)"
234,T,without_delta_frac_A,"1.51**2 * RBF(length_scale=[0.439, 2.13, 20, 3.83, 20, 8.07]) + WhiteKernel(noise_level=5.25e-06)"
234,Cb,without_delta_Tc,"1.64**2 * RBF(length_scale=[0.541, 1.74, 20, 6.04, 20, 8.23]) + WhiteKernel(noise_level=1e-06)"
234,T,without_delta_Tc,"2.64**2 * RBF(length_scale=[0.487, 2.41, 11.7, 6.11, 20, 15.7]) + WhiteKernel(noise_level=3.3e-06)"
234,Cb,initial_only,"1.95**2 * RBF(length_scale=[0.536, 1.62, 20, 4.63, 20, 15.9]) + WhiteKernel(noise_level=1.6e-06)"
234,T,initial_only,"2.62**2 * RBF(length_scale=[0.471, 2.46, 13.9, 6.5, 20, 20]) + WhiteKernel(noise_level=1.41e-06)"
234,Cb,disturbance_only,"1.39**2 * RBF(length_scale=[0.519, 1.81, 20, 4.3, 20, 6.44]) + WhiteKernel(noise_level=1.24e-06)"
234,T,disturbance_only,"1.91**2 * RBF(length_scale=[0.461, 2.34, 15.1, 4.35, 20, 7.96]) + WhiteKernel(noise_level=2.87e-06)"
250,Cb,full,"3.17**2 * RBF(length_scale=[1.27, 3.39, 20, 20, 20, 12.8]) + WhiteKernel(noise_level=2.91e-05)"
250,T,full,"3.11**2 * RBF(length_scale=[0.48, 5.19, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
250,Cb,without_delta_frac_A,"2.52**2 * RBF(length_scale=[1.22, 1.92, 20, 2.75, 20, 10.2]) + WhiteKernel(noise_level=3.36e-05)"
250,T,without_delta_frac_A,"2.2**2 * RBF(length_scale=[0.534, 2.41, 20, 6, 20, 20]) + WhiteKernel(noise_level=1.46e-06)"
250,Cb,without_delta_Tc,"3.14**2 * RBF(length_scale=[1.29, 6.06, 20, 20, 20, 13.5]) + WhiteKernel(noise_level=2.67e-05)"
250,T,without_delta_Tc,"2.96**2 * RBF(length_scale=[0.473, 9.59, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
250,Cb,initial_only,"3.12**2 * RBF(length_scale=[1.21, 1.9, 20, 3.74, 20, 14.4]) + WhiteKernel(noise_level=3.17e-05)"
250,T,initial_only,"1.88**2 * RBF(length_scale=[0.48, 2.76, 14.1, 3.23, 20, 20]) + WhiteKernel(noise_level=1e-08)"
250,Cb,disturbance_only,"2.95**2 * RBF(length_scale=[1.28, 4.74, 20, 20, 20, 11.8]) + WhiteKernel(noise_level=2.35e-05)"
250,T,disturbance_only,"3.87**2 * RBF(length_scale=[0.462, 8.02, 20, 20, 20, 16]) + WhiteKernel(noise_level=1e-08)"
257,Cb,full,"1.61**2 * RBF(length_scale=[1.02, 3.43, 20, 7.71, 20, 4.96]) + WhiteKernel(noise_level=1.34e-05)"
257,T,full,"3.73**2 * RBF(length_scale=[0.711, 4.74, 16.1, 6.37, 20, 15.8]) + WhiteKernel(noise_level=5.38e-05)"
257,Cb,without_delta_frac_A,"1.84**2 * RBF(length_scale=[1.12, 1.75, 20, 2.63, 20, 6.82]) + WhiteKernel(noise_level=1.85e-05)"
257,T,without_delta_frac_A,"2.04**2 * RBF(length_scale=[0.517, 2.5, 20, 4.19, 20, 20]) + WhiteKernel(noise_level=1.24e-06)"
257,Cb,without_delta_Tc,"1.43**2 * RBF(length_scale=[0.599, 3.39, 20, 6.07, 20, 5.11]) + WhiteKernel(noise_level=1.79e-06)"
257,T,without_delta_Tc,"3.17**2 * RBF(length_scale=[0.505, 5.06, 10.1, 5.85, 12.9, 20]) + WhiteKernel(noise_level=1.69e-05)"
