test_batch,output,window_percent,learned_kernel
840,T,50,"4.14**2 * RBF(length_scale=[0.603, 15.5, 20, 20, 20, 19.8]) + WhiteKernel(noise_level=2.21e-05)"
840,Cb,70,"2.1**2 * RBF(length_scale=[1.48, 6.78, 20, 7.28, 20, 9.43]) + WhiteKernel(noise_level=3.71e-05)"
840,T,70,"3.36**2 * RBF(length_scale=[0.573, 10.8, 20, 20, 20, 19.3]) + WhiteKernel(noise_level=9.43e-06)"
840,Cb,100,"1.98**2 * RBF(length_scale=[1.42, 6.56, 20, 9.54, 20, 8.83]) + WhiteKernel(noise_level=3.34e-05)"
840,T,100,"2.37**2 * RBF(length_scale=[0.548, 10.4, 20, 12.1, 20, 14.9]) + WhiteKernel(noise_level=4.14e-06)"
872,Cb,50,"2.66**2 * RBF(length_scale=[1.6, 6.79, 20, 5.47, 20, 8.7]) + WhiteKernel(noise_level=6.87e-05)"
872,T,50,"4.2**2 * RBF(length_scale=[0.568, 12.7, 20, 20, 20, 17]) + WhiteKernel(noise_level=5.25e-05)"
872,Cb,70,"2.02**2 * RBF(length_scale=[1.51, 6.05, 20, 4.5, 20, 11.2]) + WhiteKernel(noise_level=5.48e-05)"
872,T,70,"2.79**2 * RBF(length_scale=[0.537, 8.84, 20, 16.7, 20, 20]) + WhiteKernel(noise_level=6.53e-06)"
872,Cb,100,"1.92**2 * RBF(length_scale=[1.37, 6.29, 20, 10.1, 20, 11.1]) + WhiteKernel(noise_level=4.33e-05)"
872,T,100,"2.43**2 * RBF(length_scale=[0.529, 9.3, 20, 10.3, 20, 18]) + WhiteKernel(noise_level=2.23e-06)"
873,Cb,50,"1.26**2 * RBF(length_scale=[0.475, 1.54, 20, 5.47, 20, 9.73]) + WhiteKernel(noise_level=4.36e-08)"
873,T,50,"2.07**2 * RBF(length_scale=[0.416, 2.16, 16.5, 5.25, 20, 20]) + WhiteKernel(noise_level=2.98e-07)"
873,Cb,70,"1.19**2 * RBF(length_scale=[0.442, 4.39, 20, 8.64, 20, 7.93]) + WhiteKernel(noise_level=1.7e-08)"
873,T,70,"2.29**2 * RBF(length_scale=[0.381, 5.97, 20, 10.4, 20, 17.6]) + WhiteKernel(noise_level=2.37e-07)"
873,Cb,100,"1.28**2 * RBF(length_scale=[0.451, 3.39, 20, 7.51, 20, 6.62]) + WhiteKernel(noise_level=6.11e-07)"
873,T,100,"1.76**2 * RBF(length_scale=[0.378, 3.25, 20, 6.33, 20, 11.5]) + WhiteKernel(noise_level=2.39e-06)"
905,Cb,50,"4.25**2 * RBF(length_scale=[0.51, 2.73, 20, 13, 20, 18.6]) + WhiteKernel(noise_level=1e-08)"
905,T,50,"3.38**2 * RBF(length_scale=[0.452, 2.04, 16.2, 5.83, 20, 19.9]) + WhiteKernel(noise_level=1e-08)"
905,Cb,70,"2.76**2 * RBF(length_scale=[0.529, 9.56, 20, 20, 20, 12.8]) + WhiteKernel(noise_level=1e-08)"
905,T,70,"3.47**2 * RBF(length_scale=[0.46, 12.1, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
905,Cb,100,"2.63**2 * RBF(length_scale=[1.28, 6.5, 20, 20, 20, 9.96]) + WhiteKernel(noise_level=4.42e-05)"
905,T,100,"2.56**2 * RBF(length_scale=[0.463, 9.28, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
937,Cb,50,"1.24**2 * RBF(length_scale=[0.454, 1.97, 20, 6.79, 20, 9.82]) + WhiteKernel(noise_level=3.02e-08)"
937,T,50,"2.32**2 * RBF(length_scale=[0.4, 2.83, 18.6, 7.47, 20, 20]) + WhiteKernel(noise_level=2.87e-07)"
937,Cb,70,"1.23**2 * RBF(length_scale=[0.437, 4.64, 20, 8.53, 20, 8.38]) + WhiteKernel(noise_level=4.77e-08)"
937,T,70,"2.16**2 * RBF(length_scale=[0.385, 5.82, 20, 9.3, 20, 17.4]) + WhiteKernel(noise_level=6.95e-07)"
937,Cb,100,"1**2 * RBF(length_scale=[0.419, 2.92, 20, 8.82, 20, 7.1]) + WhiteKernel(noise_level=2e-07)"
937,T,100,"1.63**2 * RBF(length_scale=[0.357, 3.39, 20, 7.86, 20, 16.4]) + WhiteKernel(noise_level=2.1e-06)"
951,Cb,50,"1.29**2 * RBF(length_scale=[0.448, 2.32, 20, 8.49, 20, 9.77]) + WhiteKernel(noise_level=2.52e-08)"
951,T,50,"2.26**2 * RBF(length_scale=[0.389, 3.08, 20, 8.63, 20, 20]) + WhiteKernel(noise_level=2.17e-07)"
951,Cb,70,"1.09**2 * RBF(length_scale=[0.434, 5.83, 20, 11.8, 20, 7.67]) + WhiteKernel(noise_level=1.44e-08)"
