test_batch,output,strategy,learned_kernel
250,T,recent,"2.57**2 * RBF(length_scale=[0.463, 2.73, 11.1, 2.7, 15.8, 11.3]) + WhiteKernel(noise_level=2.15e-06)"
250,Cb,random,"1.77**2 * RBF(length_scale=[0.533, 1.95, 20, 3.18, 20, 8.51]) + WhiteKernel(noise_level=2.38e-06)"
250,T,random,"2.67**2 * RBF(length_scale=[0.493, 3.37, 13.5, 2.6, 16.2, 10.7]) + WhiteKernel(noise_level=6.41e-06)"
250,Cb,nearest_initial,"3.12**2 * RBF(length_scale=[1.21, 1.9, 20, 3.74, 20, 14.4]) + WhiteKernel(noise_level=3.17e-05)"
250,T,nearest_initial,"1.88**2 * RBF(length_scale=[0.48, 2.76, 14.1, 3.23, 20, 20]) + WhiteKernel(noise_level=1e-08)"
250,Cb,nearest_target,"2.79**2 * RBF(length_scale=[1.34, 10.9, 20, 14.6, 20, 8.97]) + WhiteKernel(noise_level=2.87e-05)"
250,T,nearest_target,"3.43**2 * RBF(length_scale=[0.496, 12.2, 20, 4.07, 20, 15]) + WhiteKernel(noise_level=1.63e-06)"
250,Cb,nearest_transition,"3.17**2 * RBF(length_scale=[1.27, 3.39, 20, 20, 20, 12.8]) + WhiteKernel(noise_level=2.91e-05)"
250,T,nearest_transition,"3.11**2 * RBF(length_scale=[0.48, 5.19, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
257,Cb,recent,"1.64**2 * RBF(length_scale=[0.523, 1.8, 20, 3.76, 20, 7.59]) + WhiteKernel(noise_level=1.75e-06)"
257,T,recent,"2.29**2 * RBF(length_scale=[0.478, 2.33, 11.2, 2.72, 17.2, 12.2]) + WhiteKernel(noise_level=1.16e-06)"
257,Cb,random,"2.25**2 * RBF(length_scale=[0.523, 2.05, 20, 3.43, 20, 12]) + WhiteKernel(noise_level=4.4e-06)"
257,T,random,"2.65**2 * RBF(length_scale=[0.48, 2.76, 14.3, 2.59, 15.4, 11.2]) + WhiteKernel(noise_level=7.96e-06)"
257,Cb,nearest_initial,"2.81**2 * RBF(length_scale=[1.01, 2.07, 20, 3.59, 20, 13.3]) + WhiteKernel(noise_level=1.93e-05)"
257,T,nearest_initial,"1.73**2 * RBF(length_scale=[0.464, 2.69, 13, 4.53, 20, 20]) + WhiteKernel(noise_level=1e-08)"
257,Cb,nearest_target,"1.12**2 * RBF(length_scale=[0.496, 5.96, 20, 3.02, 20, 4.11]) + WhiteKernel(noise_level=6.01e-07)"
