test_batch,output,history_size,learned_kernel
234,T,30,"2.55**2 * RBF(length_scale=[0.48, 2.78, 14.7, 1.87, 20, 12.7]) + WhiteKernel(noise_level=4.85e-06)"
250,Cb,1,"0.76**2 * RBF(length_scale=[0.486, 0.998, 0.998, 0.998, 0.998, 0.998]) + WhiteKernel(noise_level=8.82e-06)"
250,T,1,"1.59**2 * RBF(length_scale=[0.77, 0.889, 0.889, 0.889, 0.889, 0.889]) + WhiteKernel(noise_level=0.00114)"
250,Cb,3,"0.873**2 * RBF(length_scale=[0.783, 0.984, 0.314, 0.408, 0.671, 0.265]) + WhiteKernel(noise_level=0.000284)"
250,T,3,"1.52**2 * RBF(length_scale=[0.814, 20, 20, 2.19, 20, 1.69]) + WhiteKernel(noise_level=0.000504)"
250,Cb,5,"0.933**2 * RBF(length_scale=[0.86, 0.672, 20, 0.511, 20, 1.81]) + WhiteKernel(noise_level=0.00018)"
250,T,5,"1.83**2 * RBF(length_scale=[0.792, 6.76, 7.91, 3.15, 9.84, 2.3]) + WhiteKernel(noise_level=0.000499)"
250,Cb,7,"1.1**2 * RBF(length_scale=[0.872, 20, 20, 0.799, 2.73, 2.55]) + WhiteKernel(noise_level=0.000136)"
250,T,7,"1.68**2 * RBF(length_scale=[0.8, 3.26, 11.4, 2.03, 12.4, 2.03]) + WhiteKernel(noise_level=0.000434)"
250,Cb,9,"1.01**2 * RBF(length_scale=[0.87, 0.77, 20, 1.07, 20, 2.52]) + WhiteKernel(noise_level=9.75e-05)"
250,T,9,"1.78**2 * RBF(length_scale=[0.823, 2.39, 5.91, 1.99, 20, 3.76]) + WhiteKernel(noise_level=0.000345)"
250,Cb,12,"1.24**2 * RBF(length_scale=[0.825, 1.2, 20, 1.96, 20, 3.66]) + WhiteKernel(noise_level=8.1e-05)"
250,T,12,"2.08**2 * RBF(length_scale=[0.758, 2.05, 6.94, 3.48, 8.52, 4.62]) + WhiteKernel(noise_level=0.000374)"
